# NEXRAD WSR-88D site table (ICAO, name, state, lat, lon).
# Source: NOAA/NCEI HOMR station list, STNTYPE=NEXRAD only.
#   https://www.ncei.noaa.gov/access/homr/file/nexrad-stations.txt
# Retrieved 2026-06-20. Static data — never fetched at runtime (ADR-0005).
# Excludes non-operational research/test radars KCRI (ROC) and KOUN (NSSL).
icao,name,state,lat,lon
KLCH,Lake Charles,LA,30.125306,-93.215889
KLGX,Langley Hill Nw Washington,WA,47.116944,-124.10666
KLIX,New Orleans,LA,30.336667,-89.825417
KLNX,North Platte,NE,41.957944,-100.57622
KLOT,Chicago,IL,41.604444,-88.084444
KLRX,Elko,NV,40.73955,-116.8027
KLSX,St Louis,MO,38.698611,-90.682778
KLTX,Wilmington,NC,33.98915,-78.429108
KLVX,Louisville,KY,37.975278,-85.943889
KLWX,Sterling,VA,38.976111,-77.4875
KLZK,Little Rock,AR,34.8365,-92.262194
KMAF,Midland Odessa,TX,31.943461,-102.18925
KMAX,Medford,OR,42.081169,-122.71736
KMBX,Minot Afb,ND,48.393056,-100.86444
KMHX,Morehead City,NC,34.775908,-76.876189
KMKX,Milwaukee,WI,42.9679,-88.550667
KMLB,Melbourne,FL,28.113194,-80.654083
KMOB,Mobile,AL,30.679444,-88.24
KMPX,Minneapolis,MN,44.848889,-93.565528
KMQT,Marquette,MI,46.531111,-87.548333
KMRX,Knoxville,TN,36.168611,-83.401944
KMSX,Missoula,MT,47.041,-113.98622
KMTX,Salt Lake City,UT,41.262778,-112.44777
KMUX,San Francisco,CA,37.155222,-121.89844
KMVX,Grand Forks,ND,47.527778,-97.325556
KMXX,Maxwell Afb,AL,32.53665,-85.78975
KNKX,San Diego,CA,32.919017,-117.0418
KNQA,Memphis,TN,35.344722,-89.873333
KOAX,Omaha,NE,41.320369,-96.366819
KOHX,Nashville,TN,36.247222,-86.5625
KOKX,New York City,NY,40.865528,-72.863917
KOTX,Spokane,WA,47.680417,-117.62677
KPAH,Paducah,KY,37.068333,-88.771944
KPBZ,Pittsburgh,PA,40.531717,-80.217967
KPDT,Pendleton,OR,45.69065,-118.85293
KPOE,Fort Polk,LA,31.155278,-92.976111
KPUX,Pueblo,CO,38.45955,-104.18135
KRAX,Raleigh Durham,NC,35.665519,-78.48975
KRGX,Reno,NV,39.754056,-119.46202
KRIW,Riverton,WY,43.066089,-108.4773
KRLX,Charleston,WV,38.311111,-81.722778
KRTX,Portland,OR,45.715039,-122.965
KSFX,Pocatello,ID,43.1056,-112.68613
KSGF,Springfield,MO,37.235239,-93.400419
KSHV,Shreveport,LA,32.450833,-93.84125
KSJT,San Angelo,TX,31.371278,-100.4925
KSOX,Santa Ana Mountains,CA,33.817733,-117.636
KSRX,Fort Smith,AR,35.290417,-94.361889
KTBW,Tampa,FL,27.7055,-82.401778
KTFX,Great Falls,MT,47.459583,-111.38533
KTLH,Tallahassee,FL,30.397583,-84.328944
KTLX,Oklahoma City,OK,35.333361,-97.277761
KTWX,Topeka,KS,38.99695,-96.23255
KTYX,Fort Drum,NY,43.755694,-75.679861
KUDX,Rapid City,SD,44.124722,-102.83
KUEX,Hastings,NE,40.320833,-98.441944
KVAX,Moody Afb,GA,30.890278,-83.001806
KVBX,Vandenberg Afb,CA,34.83855,-120.39791
KVNX,Vance Afb,OK,36.740617,-98.127717
KVTX,Los Angeles,CA,34.412017,-119.17875
KVWX,Evansville,IN,38.26025,-87.724528
KYUX,Yuma,AZ,32.495281,-114.65671
LPLA,Lajes Ab,,38.73028,-27.32167
PABC,Bethel Faa,AK,60.791944,-161.87638
PACG,Sitka,AK,56.852778,-135.52916
PAEC,Nome,AK,64.511389,-165.295
PAHG,Anchorage,AK,60.725914,-151.35146
PAIH,Middleton Island,AK,59.460767,-146.30344
PAKC,King Salmon,AK,58.679444,-156.62944
PAPD,Fairbanks,AK,65.035114,-147.50143
PGUA,Andersen Afb Agana,GU,13.455833,144.811111
PHKI,South Kauai,HI,21.893889,-159.5525
PHKM,Kamuela,HI,20.125278,-155.77777
PHMO,Molokai,HI,21.132778,-157.18027
PHWA,South Shore,HI,19.095,-155.56888
RKJK,Kunsan,,35.924167,126.622222
RKSG,Camp Humphreys,,37.207569,127.285561
RODN,Kadena,,26.3078,127.903469
TJUA,San Juan,PR,18.115667,-66.078167
